LTE,313,100,27194,133732887,0,-97.4368,32.8843,1010,4,1,1549846354,1746454382,0
LTE,313,100,27194,133553046,0,-97.3682,32.884,7183,2,1,1573274471,1747924621,0
LTE,313,100,27194,133553112,0,-97.4455,32.8866,1000,10,1,1606074324,1746537061,0
LTE,313,100,29454,138251479,0,-98.4054,29.4053,1000,2,1,1643345386,1743429601,0
LTE,313,280,48280,122951681,-1,-89.6658,46.0114,10400,26,1,1659312744,1718501856,0
NR,313,340,44299,1806344450,-1,-75.9467,39.1938,4128,29,1,1693744393,1733637805,0
NR,313,340,63295,2584584324,-1,-81.7002,26.5796,5270,100,1,1695288814,1707532389,0
NR,313,340,63295,2584580543,-1,-81.8561,26.559,8591,60,1,1695290012,1707532435,0
NR,313,340,44499,1814577768,-1,-77.1045,38.7311,2771,50,1,1695986372,1743960607,0
NR,313,340,44499,1814577747,-1,-77.0856,38.7512,1133,29,1,1695986612,1743960607,0
NR,313,340,44499,1814577599,-1,-77.0807,38.6686,8347,46,1,1696086960,1740099965,0
NR,313,340,44499,1814577774,-1,-77.1038,38.7309,3101,25,1,1696141672,1743960607,0
NR,313,340,44497,1814602030,-1,-77.1827,38.7937,1230,29,1,1698317317,1749954466,0
NR,313,340,44497,1814602197,-1,-77.197,38.7683,3488,105,1,1698317751,1720897697,0
NR,313,340,44499,1814577748,-1,-77.0896,38.761,2507,50,1,1698317761,1743960607,0
NR,313,340,44497,1814602029,-1,-77.1674,38.7896,3247,21,1,1698317771,1751238303,0
NR,313,340,44497,1814602009,-1,-77.1515,38.8037,1270,31,1,1698317791,1749954466,0
NR,313,340,44499,1814577788,-1,-77.1367,38.754,6592,41,1,1698317881,1743960606,0
NR,313,340,44497,1814601988,-1,-77.1443,38.7715,2126,126,1,1698317951,1724619544,0
NR,313,340,44497,1814601986,-1,-77.1335,38.7848,1192,118,1,1698318031,1724619544,0
NR,313,340,44497,1814601967,-1,-77.1235,38.7863,4718,124,1,1698318791,1722102427,0
NR,313,340,44497,1814601966,-1,-77.0894,38.7774,1960,24,1,1698318821,1747932183,0
NR,313,340,44497,1814601820,-1,-77.0803,38.8137,2013,36,1,1698319151,1752534843,0
NR,313,340,44499,1814577790,-1,-77.1878,38.7197,4267,23,1,1698422385,1743960605,0
NR,313,340,44499,1814577832,-1,-77.2165,38.7131,1856,50,1,1698424494,1731346506,0
NR,313,340,44499,1814577789,-1,-77.149,38.7387,2916,24,1,1698424764,1743960606,0
NR,313,340,44499,1814577767,-1,-77.0877,38.755,1942,50,1,1698425584,1747582094,0
NR,313,340,44497,1814602050,-1,-77.1523,38.8038,1792,50,1,1698429625,1749954342,0
NR,313,340,44497,1814601778,-1,-77.0344,38.7812,4280,112,1,1698429785,1724976122,0
NR,313,340,44496,1814573673,-1,-77.0886,38.8205,1055,20,1,1698429795,1752534843,0
NR,313,340,44499,1814577746,-1,-77.0814,38.7925,2340,29,1,1698429825,1752534843,0
NR,313,340,44497,1814601903,-1,-77.0937,38.822,3837,48,1,1698429855,1749954341,0
NR,313,340,44497,1814601757,-1,-77.0783,38.7843,1485,29,1,1698429875,1747932183,0
NR,313,340,44497,1814602008,-1,-77.1234,38.7988,1697,35,1,1698471803,1752452604,0
NR,313,340,44497,1814602155,-1,-77.2048,38.8001,1000,46,1,1698472263,1749954465,0
NR,313,340,44497,1814602154,-1,-77.2163,38.8101,1590,22,1,1698472323,1752452603,0
NR,313,340,44497,1814605957,-1,-77.2032,38.8292,7216,69,1,1698472383,1706401357,0
NR,313,340,44497,1814602093,-1,-77.2197,38.833,1241,28,1,1698472403,1752452603,0
NR,313,340,44497,1814605979,-1,-77.2203,38.8385,2557,30,1,1698472443,1752452603,0
NR,313,340,44497,1814605937,-1,-77.2203,38.8577,1066,26,1,1698472493,1749410881,0
NR,313,340,44497,1814606146,-1,-77.216,38.8983,1119,36,1,1698472533,1752452601,0
NR,313,340,44497,1814605958,-1,-77.2191,38.8891,1000,21,1,1698472543,1752452601,0
NR,313,340,44497,1814606020,-1,-77.2357,38.8812,728,36,1,1698472663,1751238304,0
NR,313,340,44497,1814606040,-1,-77.2823,38.8746,2161,49,1,1698472813,1751593100,0
NR,313,340,44497,1814606061,-1,-77.3081,38.8692,1084,21,1,1698472883,1751238305,0
NR,313,340,44497,1814606042,-1,-77.307,38.8691,1538,46,1,1698472923,1751593100,0
NR,313,340,44497,1814606104,-1,-77.3439,38.859,2495,33,1,1698472973,1743960601,0
NR,313,340,44497,1814606103,-1,-77.3616,38.8595,1991,50,1,1698472993,1751238305,0
NR,313,340,44498,1814593542,-1,-77.3872,38.8676,1891,21,1,1698473213,1743870784,0
NR,313,340,44498,1814594131,-1,-77.4354,38.8457,1495,24,1,1698473233,1731346516,0
NR,313,340,44498,1814589637,-1,-77.4162,38.9085,1000,41,1,1698473403,1709407328,0
NR,313,340,44498,1814589616,-1,-77.4195,38.9166,1321,55,1,1698473563,1709407329,0
NR,313,340,44498,1814589615,-1,-77.4157,38.9269,1000,17,1,1698473633,1709407329,0
NR,313,340,44498,1814589614,-1,-77.4176,38.9428,2023,105,1,1698473683,1709407329,0
NR,313,340,44498,1814589594,-1,-77.4429,38.9749,1201,22,1,1698474083,1749410853,0
NR,313,340,44498,1814589951,-1,-77.4927,39.0068,1068,21,1,1698474113,1749410853,0
NR,313,340,44498,1814589593,-1,-77.4285,38.9899,4252,99,1,1698474163,1709407332,0
NR,313,340,44498,1814589930,-1,-77.4348,39.0028,1000,9,1,1698474243,1709407332,0
